"Nombre_archivo_neris","Procedencia","Biosample","type","type2","Organization","PublicationDate","Isolation_source","Collection_date_ORG","Lat","Lon","City","Country","Continent","Bioproject","Collection_year","Collection_month","Collection_day"
"GCF_001316955.2",NA,"SAMN04011442","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",2013-08-03,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",2013,8,3
"GCF_001316985.2",NA,"SAMN04011443","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",2013-08-26,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",2013,8,26
"GCF_001317005.2",NA,"SAMN04011444","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",NA,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",NA,NA,NA
"GCF_001317015.2",NA,"SAMN04011445","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",2013-07-21,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",2013,7,21
"GCF_001317035.2",NA,"SAMN04011447","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",NA,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",NA,NA,NA
"GCF_001317165.2",NA,"SAMN04011454","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",2013-01-29,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",2013,1,29
"GCF_001317295.2",NA,"SAMN04011455","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",2013-04-04,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",2013,4,4
"GCF_001317375.2",NA,"SAMN04011446","NCBI","BD","University of KwaZulu Natal","2015/09/16","Human",NA,"-29.8586804","31.0218404"," Durban","South Africa","Africa","PRJNA287968",NA,NA,NA
"GCF_001399815.1",NA,"SAMN04075698","NCBI","BD","University of Siena","2015/09/14","Human",2010-01-01,"44.4056499","8.946256"," Northern Italy, Genova","Italy","Europe",NA,2010,1,1
"GCF_001521895.1",NA,"SAMN04421276","NCBI","BD","The First Affiliated Hospital of Nanchang University","2016/01/19","Human",2014-09-28,"28.6741699","115.91004"," Jiangxi","China","Asia",NA,2014,9,28
"GCF_001529935.1",NA,"SAMN04377968","NCBI","BD","Shanghai Ruijin Hospital Affiliated with Jiaotong University","2015/12/30","Human",2015-01-26,"31.230416","121.473701"," Shanghai","China","Asia","PRJNA307276",2015,1,26
"GCF_001530015.1",NA,"SAMN04377969","NCBI","BD","Shanghai Ruijin Hospital Affiliated with Jiaotong University","2015/12/30","Human",2014-09-08,"31.230416","121.473701"," Shanghai","China","Asia","PRJNA307277",2014,9,8
"GCF_001566595.1",NA,"SAMN04075657","NCBI","BD","Istituto Superiore di Sanita","2016/03/01","Human",2014-05-01,"38.11569","13.3614868","Palermo","Italy","Europe",NA,2014,5,1
"GCF_001611055.1",NA,"SAMN04087461","NCBI","BD","University of Antwerpen","2016/03/25","Human",2011-06-12,"39.074208","21.824312",NA,"Greece","Europe",NA,2011,6,12
"GCF_001611095.1",NA,"SAMN04087462","NCBI","BD","University of Antwerpen","2016/04/08","Human",2013-03-02,"39.074208","21.824312",NA,"Greece","Europe",NA,2013,3,2
"GCF_001645745.1",NA,"SAMN04956567","NCBI","BD","Federal University of Uberlandia","2016/05/05","Human",2015-03-25,"-14.235004","-51.92528",NA,"Brazil","Americas",NA,2015,3,25
"GCF_001708165.1",NA,"SAMN04453063","NCBI","BD","Columbia University Medical Center","2016/07/01","Human",2012-01-01,"40.7127753","-74.0059728"," New York, NY","USA","Americas",NA,2012,1,1
"GCF_001746535.1",NA,"SAMN04087463","NCBI","BD","University of Antwerpen","2016/03/25","Human",2013-04-14,"39.074208","21.824312",NA,"Greece","Europe",NA,2013,4,14
"GCF_001929345.1",NA,"SAMN06131829","NCBI","BD","Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory","2017/01/12","Human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GCF_002007665.1",NA,"SAMN06335643","NCBI","BD","Geneva University Hospital","2017/02/15","Human",2015-01-20,"46.2043907","6.1431577","Geneva","Switzerland","Europe",NA,2015,1,20
"GCF_002085895.1",NA,"SAMN06293102","NCBI","BD","Geneva University Hospital","2017/02/03","Human",2015-03-13,"46.2043907","6.1431577","Geneva","Switzerland","Europe",NA,2015,3,13
"GCF_002085915.1",NA,"SAMN06293090","NCBI","BD","Geneva University Hospital","2017/02/03","Human",2015-03-12,"46.2043907","6.1431577","Geneva","Switzerland","Europe",NA,2015,3,12
"GCF_002085935.1",NA,"SAMN06293108","NCBI","BD","Geneva University Hospital","2017/02/03","Human",2012-10-19,"46.2043907","6.1431577","Geneva","Switzerland","Europe",NA,2012,10,19
"GCF_002085975.1",NA,"SAMN06293116","NCBI","BD","Geneva University Hospital","2017/02/03","Human",2015-03-06,"46.2043907","6.1431577","Geneva","Switzerland","Europe",NA,2015,3,6
"GCF_002085995.1",NA,"SAMN06293538","NCBI","BD","Geneva University Hospital","2017/02/03","Human",2010-01-01,"47.4244818","9.3767173","Saint-Gallen","Switzerland","Europe",NA,2010,1,1
"GCF_002086005.1",NA,"SAMN06293642","NCBI","BD","Geneva University Hospital","2017/02/03","Human",2013-01-01,"46.2043907","6.1431577","Geneva","Switzerland","Europe",NA,2013,1,1
"GCF_002086025.1",NA,"SAMN06293615","NCBI","BD","Geneva University Hospital","2017/02/03","Human",2013-01-01,"46.2043907","6.1431577","Geneva","Switzerland","Europe",NA,2013,1,1
"GCF_002086075.1",NA,"SAMN06293906","NCBI","BD","Geneva University Hospital","2017/02/03","Human",2009-01-01,"46.2043907","6.1431577","Geneva","Switzerland","Europe",NA,2009,1,1
"GCF_002086095.1",NA,"SAMN06294062","NCBI","BD","Geneva University Hospital","2017/02/03","Human",2010-01-01,"46.2043907","6.1431577","Geneva","Switzerland","Europe",NA,2010,1,1
"GCF_002087215.1",NA,"SAMN06392936","NCBI","BD","Public Health England","2017/03/15","Human",2016-01-18,"51.5072178","-0.1275862","London","United Kingdom","Europe",NA,2016,1,18
"GCF_002163895.1",NA,"SAMN06200334","NCBI","BD","Shanghai Ruijin Hospital Affiliated with Jiaotong University","2017/06/03","Human",2015-05-04,"31.230416","121.473701"," Shanghai","China","Asia",NA,2015,5,4
"GCF_002210445.1",NA,"SAMN06562536","NCBI","BD","Public Health England","2017/03/10","Human",2016-01-11,"51.5072178","-0.1275862","London","United Kingdom","Europe",NA,2016,1,11
"GCF_002239705.1",NA,"SAMN07203032","NCBI","BD","JCVI","2017/06/07","Human",2016-09-01,"15.870032","100.992541",NA,"Thailand","Asia","PRJNA389557",2016,9,1
"GCF_002239715.1",NA,"SAMN07203007","NCBI","BD","JCVI","2017/06/07","Human",2015-12-15,"15.870032","100.992541",NA,"Thailand","Asia","PRJNA389557",2015,12,15
"GCF_002239805.1",NA,"SAMN07203029","NCBI","BD","JCVI","2017/06/07","Human",2016-06-21,"15.870032","100.992541",NA,"Thailand","Asia","PRJNA389557",2016,6,21
"GCF_002239815.1",NA,"SAMN07203030","NCBI","BD","JCVI","2017/06/07","Human",2016-05-30,"15.870032","100.992541",NA,"Thailand","Asia","PRJNA389557",2016,5,30
"GCF_002246035.1",NA,"SAMN07450620","NCBI","BD","JCVI","2017/08/04","Human",2017-04-17,"13.7563309","100.5017651"," Bangkok","Thailand","Asia","PRJNA389557",2017,4,17
